,PC1,PC2,labels,name
ERR12074384,16.517994,-5.6131425,Sediment,ERR12074384
SRR7774471,23.205061,-4.0469027,Sediment,SRR7774471
SRR14842423,-3.305357,-2.6406102,Canis_familiaris,SRR14842423
SRR14842349,6.144015,2.6805918,Canis_familiaris,SRR14842349
SRR2241023,-20.30388,6.5290318,Homo_sapiens,SRR2241023
SRR14842322,8.692961,5.2406473,Canis_familiaris,SRR14842322
SRR25620756,21.642946,-7.3866744,Sediment,SRR25620756
ERR12814476,24.020723,-9.798711,Sediment,ERR12814476
SRR14842323,8.59475,5.2745166,Canis_familiaris,SRR14842323
SRR14842352,-5.5880876,0.48475912,Canis_familiaris,SRR14842352
ERR12814471,23.406507,-8.66233,Sediment,ERR12814471
SRR14842396,7.623761,2.0630603,Canis_familiaris,SRR14842396
SRR2240921,-21.29705,3.0127654,Homo_sapiens,SRR2240921
SRR2175755,-19.828297,2.1490512,Homo_sapiens,SRR2175755
SRR14842402,0.14150907,3.3423092,Canis_familiaris,SRR14842402
SRR14842370,-1.481864,-3.1031394,Canis_familiaris,SRR14842370
SRR2240287,-21.039074,4.943864,Homo_sapiens,SRR2240287
SRR14842334,2.8400626,5.415072,Canis_familiaris,SRR14842334
SRR14842361,-4.135733,5.2997227,Canis_familiaris,SRR14842361
SRR7774474,22.682741,-4.712158,Sediment,SRR7774474
SRR14842379,4.7510505,2.966749,Canis_familiaris,SRR14842379
SRR25620676,22.396929,-7.377267,Sediment,SRR25620676
SRR14842320,-2.8097634,3.754917,Canis_familiaris,SRR14842320
SRR2175724,-14.51553,4.225777,Homo_sapiens,SRR2175724
SRR2175804,-24.223623,0.41309166,Homo_sapiens,SRR2175804
SRR14842415,8.602398,-5.5617967,Canis_familiaris,SRR14842415
ERR1560093,18.918388,-3.8033364,Sediment,ERR1560093
SRR2175725,-25.06545,0.3113996,Homo_sapiens,SRR2175725
SRR2175723,-18.243366,4.4631944,Homo_sapiens,SRR2175723
SRR14842368,-3.7197862,5.3651533,Canis_familiaris,SRR14842368
SRR2175780,-25.325241,0.2312086,Homo_sapiens,SRR2175780
SRR14842325,8.030794,0.8216702,Canis_familiaris,SRR14842325
SRR14842339,5.5704923,-3.1308138,Canis_familiaris,SRR14842339
SRR1952562,-17.42159,0.5712696,Homo_sapiens,SRR1952562
SRR14842383,-2.7023535,1.9798999,Canis_familiaris,SRR14842383
SRR14842380,-1.3915018,0.42502937,Canis_familiaris,SRR14842380
SRR14842381,0.6738336,-3.94257,Canis_familiaris,SRR14842381
SRR2175767,-19.920385,6.265142,Homo_sapiens,SRR2175767
SRR14842372,1.0225769,2.1434505,Canis_familiaris,SRR14842372
SRR24222629,20.281805,-5.6337996,Sediment,SRR24222629
SRR2175774,-21.635822,2.7055218,Homo_sapiens,SRR2175774
SRR14842365,-1.1657394,2.4351437,Canis_familiaris,SRR14842365
SRR14842348,5.662094,-1.391765,Canis_familiaris,SRR14842348
SRR14842392,2.9236581,0.662519,Canis_familiaris,SRR14842392
SRR14842337,-4.4042916,-0.834847,Canis_familiaris,SRR14842337
ERR12814474,23.238228,-9.610025,Sediment,ERR12814474
MS10790,20.380909,-8.507925,Sediment,MS10790
SRR7774470,20.299725,-3.3597388,Sediment,SRR7774470
SRR2240290,-18.924685,3.2829027,Homo_sapiens,SRR2240290
SRR14842398,1.6901224,-3.6637888,Canis_familiaris,SRR14842398
SRR14842390,-3.5349932,6.7361255,Canis_familiaris,SRR14842390
SRR14842404,-4.065305,3.128669,Canis_familiaris,SRR14842404
ERR1560095,19.195755,-4.4446635,Sediment,ERR1560095
SRR14842353,-3.7551305,-0.39821708,Canis_familiaris,SRR14842353
SRR1944873,-19.062244,1.8047909,Homo_sapiens,SRR1944873
SRR2175776,-19.823715,-0.1500499,Homo_sapiens,SRR2175776
ERR12074385,19.58145,-6.0528517,Sediment,ERR12074385
SRR24222626,18.2445,-5.417607,Sediment,SRR24222626
SRR14842367,-6.1719127,4.9528623,Canis_familiaris,SRR14842367
SRR2240728,-23.83219,2.3191798,Homo_sapiens,SRR2240728
SRR14842403,0.4703721,-1.9617536,Canis_familiaris,SRR14842403
SRR2175647,-16.837725,6.120612,Homo_sapiens,SRR2175647
SRR1952575,-20.966173,0.84606355,Homo_sapiens,SRR1952575
SRR14842399,1.3003112,-5.5012894,Canis_familiaris,SRR14842399
SRR1952620,-23.566086,0.1966278,Homo_sapiens,SRR1952620
SRR14842395,-0.112630755,-4.747821,Canis_familiaris,SRR14842395
SRR7774472,16.242123,-0.90181565,Sediment,SRR7774472
SRR1952618,-22.955704,0.49313605,Homo_sapiens,SRR1952618
SRR14842344,3.5479884,-3.8448353,Canis_familiaris,SRR14842344
SRR7774476,22.100681,-4.1747966,Sediment,SRR7774476
SRR14842331,-1.7378904,2.5045474,Canis_familiaris,SRR14842331
SRR1952531,-19.181845,-2.2529826,Homo_sapiens,SRR1952531
SRR2175727,-21.55813,-1.5589868,Homo_sapiens,SRR2175727
SRR14842332,-11.578634,0.94336927,Canis_familiaris,SRR14842332
SRR14842418,4.3975096,2.7377675,Canis_familiaris,SRR14842418
SRR1952501,-17.830612,2.251885,Homo_sapiens,SRR1952501
SRR25620786,21.208124,-6.6574416,Sediment,SRR25620786
SRR14842426,8.247661,2.32969,Canis_familiaris,SRR14842426
SRR2175792,-18.325178,-2.0572345,Homo_sapiens,SRR2175792
SRR14842357,-3.0621085,4.541979,Canis_familiaris,SRR14842357
SRR14842355,-3.9516008,8.731264,Canis_familiaris,SRR14842355
SRR14842340,5.459636,-3.0291345,Canis_familiaris,SRR14842340
SRR14842333,-10.748099,2.1707788,Canis_familiaris,SRR14842333
SRR14842407,2.106959,-6.727099,Canis_familiaris,SRR14842407
SRR25620681,23.068554,-6.8130417,Sediment,SRR25620681
SRR14842351,-2.926941,-0.9920788,Canis_familiaris,SRR14842351
SRR14842356,-13.594978,0.84948367,Canis_familiaris,SRR14842356
SRR14842386,-0.9755694,3.6027784,Canis_familiaris,SRR14842386
SRR14842421,-13.167341,0.607373,Canis_familiaris,SRR14842421
SRR14842394,0.8035569,1.4193429,Canis_familiaris,SRR14842394
SRR14842391,-1.454286,4.827669,Canis_familiaris,SRR14842391
SRR14842377,-1.1818936,4.4102545,Canis_familiaris,SRR14842377
SRR14842326,6.7134385,-6.0542526,Canis_familiaris,SRR14842326
SRR14842378,-3.463915,6.1775665,Canis_familiaris,SRR14842378
SRR2175649,-18.27361,5.746738,Homo_sapiens,SRR2175649
SRR25620790,22.011408,-6.178014,Sediment,SRR25620790
MS11103,16.212639,-7.245016,Sediment,MS11103
SRR7774473,16.202345,-0.89688545,Sediment,SRR7774473
SRR2175768,-15.5462885,4.3041587,Homo_sapiens,SRR2175768
MS10904,19.868052,-8.049163,Sediment,MS10904
SRR24222625,19.524446,-5.3951573,Sediment,SRR24222625
SRR14842350,6.3261395,2.3623276,Canis_familiaris,SRR14842350
ERR12074386,16.474583,-5.6485515,Sediment,ERR12074386
SRR14842409,-5.0123396,-1.487822,Canis_familiaris,SRR14842409
SRR1952418,-18.34527,1.6803204,Homo_sapiens,SRR1952418
SRR1952344,-23.85406,1.1047286,Homo_sapiens,SRR1952344
