clade_name	MS11669_jun23_nreads	MS11670_jun23_nreads	MS11673_jun23_nreads	MS11674_jun23_nreads	MS11675_jun23_nreads	MS11676_jun23_nreads	MS11677_jun23_nreads	MS11678_jun23_nreads	MS11679_jun23_nreads	MS11683_jun23_nreads	MS11684_jun23_nreads	MS11686_jun23_nreads	MS11770_jun23_nreads	MS11771_jun23_nreads	MS11774_jun23_nreads	MS11775_jun23_nreads
s__Amedibacillus_dolichus	0.0	0.44901	0.74902	0.0	0.63716	0.49773	0.0	0.11882	0.0553	0.04905	1.90814	0.30152	1.23101	0.06068	0.19754	1.57305
s__GGB4672_SGB6461	0.0	0.41495	0.0	0.0	0.0	0.00077	0.0	0.73784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vescimonas_coprocola	0.0	0.35618	0.0	0.0	0.0	0.0	0.0	0.06268	0.0	0.0	0.0	0.0	0.07042	0.0	0.0	0.0
s__Streptococcus_gallolyticus	0.0	0.30638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_ramulus	0.0	0.29529	0.0	0.0	0.0	0.0	0.0	0.01238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4584_SGB6338	0.0	0.29515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridiales_bacterium_KLE1615	0.0	0.28443	0.0	0.0	0.0	0.0	0.0	0.01918	0.0	0.0	0.0	0.0	0.06652	0.0	0.0	0.0
s__Clostridium_baratii	0.0	0.28429	0.0	1.62489	0.2483	0.17032	0.09646	0.02692	0.10478	0.11768	0.23878	0.14959	0.45971	0.09539	0.09617	0.09769
s__GGB9642_SGB15119	0.0	0.27568	0.0	0.0	0.0	0.0	0.0	0.04397	0.0	0.0	0.0	0.0	0.0	0.0	0.01177	0.0
s__Pseudomonas_psychrophila	0.0	0.25431	0.0	0.0	0.02941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6319	0.0	0.0
s__GGB3637_SGB4930	0.0	0.25313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Flavobacterium_sp_F_65	0.0	0.2531	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00525	0.0
s__Mediterraneibacter_faecis	0.0	0.22503	0.25433	0.0	0.0	0.02725	0.0	0.19393	0.0	0.0	0.0	0.0	0.83386	0.0	0.08359	0.0
s__GGB1491_SGB2066	0.0	0.22178	0.0	0.0	0.00613	0.0	0.0	0.08695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4682_SGB6472	0.0	0.21207	0.0	0.0	0.0	0.0	0.0	0.13969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB9715_SGB15260	0.0	0.20061	0.0	0.0	0.0	0.04077	0.0	0.04713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3649_SGB4958	0.0	0.1873	0.0	0.0	0.0	0.0	0.0	0.11854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_fallax	0.0	0.17137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0665	0.0	0.0	0.0	0.0
s__Escherichia_marmotae	0.0	0.15706	0.0	0.15614	0.38172	0.10498	0.0	0.0	0.00201	0.0	0.38296	0.0	0.03898	0.37781	0.46949	0.27737
s__GGB4250_SGB5751	0.0	0.13673	0.0	0.01705	0.14843	0.23266	0.0	0.04101	0.29489	0.39846	0.0	0.0	0.0	0.00948	0.24051	0.0
s__Acinetobacter_harbinensis	0.0	0.13536	0.0	0.12269	0.75453	0.05639	0.03321	0.16261	0.0	0.0	0.0	0.0	0.0	5.7505	0.0	0.12053
s__Eubacterium_coprostanoligenes	0.0	0.13103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09771	0.0
s__Prevotella_stercorea	0.0	0.12937	0.0	0.0	0.0	0.0	0.0	1.00785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Holdemanella_biformis	0.0	0.12264	0.08274	0.0	0.0	0.04358	0.0	1.3997	0.0	0.0	0.0	0.0	2.74118	0.0	0.12181	0.0
s__Collinsella_sp_BA40	0.0	0.12258	0.0	0.39171	0.68791	0.10573	0.00907	0.0	0.19942	0.38002	0.01831	0.07101	0.02	0.0	0.09255	0.87551
s__GGB4251_SGB5752	0.0	0.12215	0.0	0.0	0.0	0.0	0.0	0.06889	0.0	0.0	0.0	0.0	0.0	0.0	0.00621	0.09478
s__GGB13294_SGB20534	0.0	0.11624	0.0	0.0	0.0	0.0	0.0	0.00065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Shewanella_oncorhynchi	0.0	0.11447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Erysipelotrichaceae_bacterium_7770_A6	0.0	0.10235	0.0	0.0	0.0	0.0	0.0	1.71965	0.0	0.0	0.0	0.0	0.77087	0.0	0.32642	0.0
s__Flavobacterium_sp_HSC_61S13	0.0	0.09329	0.0	0.0	0.0	0.02495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07723	0.0	0.02135
s__GGB4629_SGB6407	0.0	0.09182	0.0	0.0	0.0	0.0	0.0	0.20107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
